DateTime,AddedIPs,RemovedIPs
1604566805,1,0
1604570407,0,1
1604574007,3,0
1604581206,2,0
1604584808,0,1
1604595606,1,0
1604602807,1,1
1604613606,1,0
1604635206,0,1
1604656805,1,0
1604660406,1,0
1604678406,1,0
1604682007,0,2
1604721607,0,1
1604732406,1,1
1604736006,0,1
1604754007,0,1
1604772006,0,1
1604779206,0,1
1604793607,0,1
1604797206,0,1
1604800807,0,1
1604808005,0,1
1604854806,1,0
1604858407,0,1
1604865605,1,0
1604872807,0,1
1604880006,0,1
1604890806,0,1
1604916007,0,1
1604919607,0,1
1604937606,1,1
1604955605,1,0
1604959206,1,0
1604962806,0,1
1604995206,0,1
1604998807,0,2
1605002406,1,0
1605024005,1,1
1605034805,0,1
1605049206,0,1
1605052805,1,0
1605063606,1,0
1605081605,0,1
1605096006,1,0
1605114006,0,1
1605132007,1,0
1605146406,0,1
1605157206,0,1
1605160806,1,0
1605164406,1,0
1605178805,0,1
1605182406,0,1
1605189606,0,1
1605196806,0,1
1605200405,0,1
1605218406,0,1
1605232806,1,0
1605236405,1,0
1605243605,0,1
1605247206,1,0
1605261607,1,0
1605265206,2,0
1605268806,1,0
1605279605,1,1
1605290407,1,0
1605294006,1,0
1605355208,1,0
1605358806,1,0
1605362407,1,0
1605373207,1,0
1605412807,0,1
1605459607,0,1
1605466806,1,0
1605474008,1,1
1605477607,0,1
1605484807,1,0
1605535206,1,0
1605556805,0,2
1605564007,0,1
1605571206,0,1
1605574807,0,1
1605592807,0,1
1605607206,0,1
1605628807,1,1
1605636006,1,0
1605646805,1,0
1605654005,1,0
1605657607,1,0
1605700808,0,1
1605708008,1,0
1605715207,1,0
1605726007,1,0
1605765607,0,2
1605769206,0,1
1605801607,0,1
1605808807,0,1
1605819607,1,0
1605852007,1,0
1605862806,1,0
1605877206,1,0
1605880806,0,1
1605888007,0,1
1605891607,1,2
1605898805,1,0
1605906006,0,1
1605924007,1,0
1605942007,1,0
1605952805,0,1
1605960006,0,1
1605967205,0,1
1605970805,0,1
1605978005,0,2
1605988805,1,0
1606021205,1,0
1606046407,0,1
1606057205,1,0
1606060806,2,0
1606071606,1,1
1606089607,1,0
1606104006,1,0
1606132807,1,0
1606154406,1,0
1606183207,1,0
1606190406,1,0
1606212007,0,1
1606233609,0,1
1606237207,1,0
1606251607,0,1
1606258806,0,1
1606262407,0,1
1606269606,2,0
1606291208,0,1
1606294806,1,0
1606298407,1,0
1606302005,1,0
1606305606,0,1
1606309205,0,1
1606312807,0,1
1606316405,1,0
1606323605,0,1
1606327205,1,0
1606345207,1,0
1606348805,1,0
1606381206,1,0
1606395607,1,0
1606399206,1,1
1606410005,1,0
1606417208,1,0
1606420806,1,0
1606424407,1,1
1606428005,0,1
1606442407,0,1
1606456806,0,1
1606467607,0,2
1606482007,1,0
1606496407,0,1
1606503606,1,0
1606507207,1,0
1606525207,0,1
1606528806,0,1
1606539607,1,0
1606586407,1,0
1606626006,1,0
1606654805,1,0
1606662006,0,1
1606665608,0,1
1606676407,1,1
1606690808,0,1
1606698006,1,0
1606708808,0,1
1606723207,0,1
1606737607,0,1
1606741206,0,1
1606748406,0,1
1606770005,1,0
1606780807,1,0
1606795206,0,1
1606802408,1,0
1606816807,0,1
1606827607,2,0
1606842007,1,0
1606849206,0,1
1606856407,1,0
1606860008,0,1
1606892406,1,0
1606903208,0,2
1606906808,1,0
1606910405,1,0
1606921206,1,1
1606928408,2,2
1606932008,1,0
1606935607,1,0
1606950008,0,1
1606986008,1,0
1606989607,1,0
1607004008,0,1
1607011206,0,1
1607018408,1,1
1607022007,0,2
1607029207,0,1
1607043608,1,1
1607079607,0,1
1607086806,0,1
1607108408,0,1
1607112008,1,0
1607122805,1,0
1607126407,2,0
1607133605,0,1
1607137206,1,0
1607144407,1,0
1607148008,0,1
1607158806,1,0
1607162407,0,1
1607166008,1,0
1607176806,0,1
1607191206,1,1
1607205607,1,0
1607212807,1,0
1607220007,1,0
1607266807,0,1
1607270408,1,0
1607281208,0,1
1607306406,1,0
1607317206,1,0
1607335208,0,1
1607346008,0,1
1607360407,1,0
1607378408,0,2
1607385607,0,1
1607421626,1,0
1607432424,0,1
1607464826,1,1
1607486426,1,0
1607490025,1,0
1607497224,1,1
1607500824,2,0
1607511624,0,1
1607515223,0,1
1607518826,2,0
1607522424,2,0
1607526025,2,0
1607533224,1,2
1607540426,0,2
1607562026,1,0
1607569226,1,0
1607583625,0,1
1607590823,0,1
1607594424,0,1
1607652025,2,0
1607688026,1,0
1607698825,0,1
1607702426,1,0
1607716824,0,1
1607742027,1,0
1607745625,1,0
1607749225,1,1
1607763626,1,0
1607774425,0,1
1607799625,1,0
1607814026,1,0
1607817627,2,0
1607824826,0,1
1607857225,0,1
1607860827,1,0
1607882425,1,0
1607889627,0,1
1607896825,0,1
1607900426,0,1
1607914825,0,1
1607918426,0,1
1607922025,0,1
1607940025,0,1
1607965226,1,1
1607979626,1,0
1607986827,1,0
1607990427,1,0
1608026425,0,1
1608040825,1,0
1608051628,1,0
1608058827,2,0
1608066027,2,0
1608069627,0,1
1608091227,0,1
1608112826,1,0
1608130826,0,2
1608138025,0,2
1608141627,0,2
1608145228,1,0
1608163227,1,0
1608166827,0,1
1608174026,1,1
1608184826,0,1
1608231627,1,0
1608242423,0,1
1608246027,1,0
1608253226,1,0
1608256825,0,2
1608260425,1,1
1608264023,1,0
1608278427,0,1
1608332422,1,1
1608350430,0,1
1608357625,0,1
1608372024,0,1
1608386423,0,1
1608400826,0,1
1608404428,0,2
1608408021,1,0
1608411626,0,1
1608422425,1,0
1608436825,0,1
1608440427,1,0
1608444026,0,1
1608462028,1,0
1608465621,0,1
1608476426,1,0
1608487226,1,0
1608490830,2,0
1608494422,1,1
1608523228,1,0
1608526825,1,0
1608534028,1,0
1608555626,1,0
1608562826,1,0
1608570026,1,1
1608584427,0,1
1608588026,1,1
1608591626,0,1
1608595228,0,1
1608602426,1,0
1608613226,1,0
1608624026,1,0
1608631229,1,0
1608656425,1,1
1608663622,2,1
1608670828,0,2
1608678025,1,0
1608688829,1,0
1608717634,0,1
1608742828,1,0
1608775226,0,1
1608778828,0,1
1608789628,0,1
1608840028,0,1
1608858025,0,1
1608861628,2,0
1608868827,0,1
1608872428,1,0
1608883228,0,1
1608890427,1,0
1608897627,1,0
1608904827,0,1
1608926427,0,1
1608944419,0,1
1608951629,1,1
1608973222,1,0
1608987625,1,0
1609009227,0,1
1609070428,0,1
1609081227,0,1
1609092027,1,0
1609095623,1,2
1609099228,0,1
1609106428,0,1
1609110027,2,0
1609120826,1,0
1609128028,0,1
1609131628,0,2
1609138823,0,1
1609142428,0,2
1609146028,0,1
