DateTime,AddedIPs,RemovedIPs
1606197004,23,2
1606207889,27,16
1606218712,25,7
1606229749,30,8
1606240926,30,11
1606251942,36,9
1606262852,22,6
1606273949,29,3
1606284933,34,8
1606295728,23,5
1606306711,27,8
1606317813,27,10
1606328767,35,5
1606339445,23,15
1606350394,30,4
1606361500,30,3
1606372511,36,0
1606383558,22,3
1606394568,14,9
1606405500,23,5
1606416464,17,7
1606427281,20,10
1606438258,34,4
1606449387,35,4
1606460373,15,6
1606471371,29,7
1606482456,23,3
1606493524,21,5
1606504563,23,5
1606515550,27,3
1606526644,30,0
1606537706,23,0
1606548627,23,0
1606559747,23,0
1606570778,37,4
1606581587,16,8
1606592607,21,7
1606603636,16,8
1606614657,20,5
1606625708,18,12
1606636736,32,10
1606647840,22,9
1606658883,25,5
1606669890,10,9
1606680913,18,6
1606691986,41,6
1606703045,37,6
1606713940,35,8
1606724839,21,5
1606735775,23,5
1606746685,41,16
1606757767,28,4
1606768662,19,7
1606779619,26,4
1606790492,31,3
1606801301,31,7
1606812223,24,4
1606823160,23,6
1606834025,21,12
1606845063,26,89
1606856157,24,135
1606867222,22,107
1606878151,21,119
1606889069,32,118
1606900014,17,96
1606910968,21,110
1606921822,26,80
1606932961,27,101
1606944001,19,70
1606955010,28,107
1606966084,31,117
1606977116,11,86
1606988074,23,85
1606999201,22,65
1607010088,13,80
1607021004,19,98
1607032101,30,98
1607043101,29,114
1607054053,27,107
1607065191,19,90
1607076173,22,101
1607087255,22,86
1607098286,17,94
1607109328,23,70
1607120276,20,89
1607131122,18,81
1607142164,18,75
1607153186,25,60
1607164344,19,86
1607175332,22,79
1607186260,27,70
1607197105,11,88
1607208244,34,69
1607219163,23,88
1607229947,31,63
1607240801,30,89
1607251940,6,80
1607263245,23,78
1607274138,14,83
1607285006,16,94
1607296044,34,72
1607307114,33,82
1607317969,30,73
1607328960,27,50
1607339995,29,68
1607351059,23,85
1607362017,21,43
1607373087,29,93
1607384152,34,82
1607395078,28,95
1607405830,28,48
1607416789,25,63
1607427642,21,52
1607438639,22,58
1607449673,28,65
1607460613,21,100
1607471682,25,120
1607482812,15,109
1607493831,31,119
1607504753,20,121
1607515577,9,75
1607526452,18,85
1607537521,21,84
1607548550,14,118
1607559606,20,129
1607570567,21,115
1607581561,18,102
1607592461,21,89
1607603536,22,106
1607614552,10,38
1607625604,27,42
1607636646,32,62
1607647682,30,54
1607658635,20,34
1607669645,13,50
1607680497,19,50
1607691594,17,48
1607702514,11,34
1607713435,21,52
1607724473,22,51
1607735622,22,52
1607746357,22,42
1607757314,10,46
1607768373,15,38
1607779432,18,42
1607790486,19,37
1607801540,29,46
1607812424,15,47
1607823144,15,48
1607833896,17,33
1607844982,17,34
1607855670,16,30
1607866803,14,43
1607877742,10,35
1607888798,24,20
1607899850,21,31
1607910949,22,51
1607921781,18,16
1607932730,14,32
1607943800,17,23
1607954872,13,31
1607965763,16,22
1607976773,25,34
1607987734,29,31
1607998938,12,55
1608010079,23,31
1608020738,22,22
1608031651,32,39
1608042634,15,33
1608053635,18,27
1608064575,30,25
1608075849,27,39
1608086869,26,27
1608097919,22,24
1608108889,14,21
1608119881,22,24
1608130764,30,26
1608141833,9,13
1608152833,26,36
1608163854,15,30
1608174902,27,26
1608185961,19,25
1608197012,19,18
1608208291,20,31
1608219182,15,16
1608230140,19,26
1608241184,20,20
1608252179,16,27
1608263273,6,38
1608274292,15,27
1608285344,17,21
1608296429,18,27
1608307376,16,17
1608318424,13,26
1608329432,21,33
1608340553,26,28
1608351584,27,26
1608362583,20,30
1608373558,14,12
1608384438,17,14
1608395343,10,11
1608406320,12,21
1608417369,22,22
1608428378,24,26
1608439412,27,14
1608450444,13,20
1608461332,15,16
1608472150,15,19
1608482610,12,22
1608493300,22,24
1608504257,19,27
1608515162,18,29
1608525993,21,18
1608537091,22,25
1608548088,18,19
1608559081,16,15
1608569956,16,19
1608580978,26,18
1608591992,22,25
1608602894,18,33
1608613890,14,30
1608624887,29,23
1608636013,24,22
1608647008,29,18
1608658058,17,29
1608669094,31,30
1608680162,30,37
1608691148,20,15
1608702240,24,28
1608713237,27,19
1608724339,15,23
1608735204,15,21
1608746150,20,19
1608757273,17,23
1608768215,19,23
1608779188,28,19
1608790198,21,22
1608801101,27,18
1608812197,59,20
1608823220,58,15
1608834107,32,12
1608845036,28,27
1608856083,29,19
1608867015,33,26
1608877868,25,15
1608888856,17,28
1608899984,20,13
1608910943,69,27
1608921804,27,20
1608932842,35,40
1608943880,23,40
1608954977,34,30
1608965880,32,22
1608976794,31,23
1608987799,23,20
1608998824,27,16
1609009915,40,24
1609020891,21,16
1609032001,26,16
1609042982,12,14
1609054079,32,14
1609065098,29,21
1609076101,26,21
1609087185,22,15
1609098455,42,18
1609109485,22,24
1609120584,36,19
1609131570,28,19
1609142635,16,18
1609153656,32,29
